frame,H_Water_IF->O_SiO2_Surface,H_Water_IF->O_SiO2_Structural,H_Water_IF->O_Hydroxyl_CSH,H_Water_IF->O_NBO_CSH,H_Water_IF->O_Bridging_CSH,H_Water_IF->O_Water_CSH,H_Water_IF->O_Water_IF,H_Water_IF->O_Water_IF_CaCoord,H_Hydroxyl_CSH->O_SiO2_Surface,H_Hydroxyl_CSH->O_SiO2_Structural,H_Hydroxyl_CSH->O_Water_IF,H_Hydroxyl_CSH->O_Water_IF_CaCoord,H_Water_CSH->O_SiO2_Surface,H_Water_CSH->O_SiO2_Structural,H_Water_CSH->O_Water_IF,H_Water_CSH->O_Water_IF_CaCoord,H_SiO2_Hydroxyl->O_Hydroxyl_CSH,H_SiO2_Hydroxyl->O_NBO_CSH,H_SiO2_Hydroxyl->O_Water_CSH,H_SiO2_Hydroxyl->O_Bridging_CSH,H_SiO2_Hydroxyl->O_Water_IF,H_SiO2_Hydroxyl->O_Water_IF_CaCoord,H_Water_IF->O_SiO2_Surface_per_nm2,H_Water_IF->O_SiO2_Structural_per_nm2,H_Water_IF->O_Hydroxyl_CSH_per_nm2,H_Water_IF->O_NBO_CSH_per_nm2,H_Water_IF->O_Bridging_CSH_per_nm2,H_Water_IF->O_Water_CSH_per_nm2,H_Water_IF->O_Water_IF_per_nm2,H_Water_IF->O_Water_IF_CaCoord_per_nm2,H_Hydroxyl_CSH->O_SiO2_Surface_per_nm2,H_Hydroxyl_CSH->O_SiO2_Structural_per_nm2,H_Hydroxyl_CSH->O_Water_IF_per_nm2,H_Hydroxyl_CSH->O_Water_IF_CaCoord_per_nm2,H_Water_CSH->O_SiO2_Surface_per_nm2,H_Water_CSH->O_SiO2_Structural_per_nm2,H_Water_CSH->O_Water_IF_per_nm2,H_Water_CSH->O_Water_IF_CaCoord_per_nm2,H_SiO2_Hydroxyl->O_Hydroxyl_CSH_per_nm2,H_SiO2_Hydroxyl->O_NBO_CSH_per_nm2,H_SiO2_Hydroxyl->O_Water_CSH_per_nm2,H_SiO2_Hydroxyl->O_Bridging_CSH_per_nm2,H_SiO2_Hydroxyl->O_Water_IF_per_nm2,H_SiO2_Hydroxyl->O_Water_IF_CaCoord_per_nm2,H_Water_IF->O_SiO2_Surface_per_nm3,H_Water_IF->O_SiO2_Structural_per_nm3,H_Water_IF->O_Hydroxyl_CSH_per_nm3,H_Water_IF->O_NBO_CSH_per_nm3,H_Water_IF->O_Bridging_CSH_per_nm3,H_Water_IF->O_Water_CSH_per_nm3,H_Water_IF->O_Water_IF_per_nm3,H_Water_IF->O_Water_IF_CaCoord_per_nm3,H_Hydroxyl_CSH->O_SiO2_Surface_per_nm3,H_Hydroxyl_CSH->O_SiO2_Structural_per_nm3,H_Hydroxyl_CSH->O_Water_IF_per_nm3,H_Hydroxyl_CSH->O_Water_IF_CaCoord_per_nm3,H_Water_CSH->O_SiO2_Surface_per_nm3,H_Water_CSH->O_SiO2_Structural_per_nm3,H_Water_CSH->O_Water_IF_per_nm3,H_Water_CSH->O_Water_IF_CaCoord_per_nm3,H_SiO2_Hydroxyl->O_Hydroxyl_CSH_per_nm3,H_SiO2_Hydroxyl->O_NBO_CSH_per_nm3,H_SiO2_Hydroxyl->O_Water_CSH_per_nm3,H_SiO2_Hydroxyl->O_Bridging_CSH_per_nm3,H_SiO2_Hydroxyl->O_Water_IF_per_nm3,H_SiO2_Hydroxyl->O_Water_IF_CaCoord_per_nm3,H_Water_IF->O_SiO2_Surface_per_donor,H_Water_IF->O_SiO2_Structural_per_donor,H_Water_IF->O_Hydroxyl_CSH_per_donor,H_Water_IF->O_NBO_CSH_per_donor,H_Water_IF->O_Bridging_CSH_per_donor,H_Water_IF->O_Water_CSH_per_donor,H_Water_IF->O_Water_IF_per_donor,H_Water_IF->O_Water_IF_CaCoord_per_donor,H_Hydroxyl_CSH->O_SiO2_Surface_per_donor,H_Hydroxyl_CSH->O_SiO2_Structural_per_donor,H_Hydroxyl_CSH->O_Water_IF_per_donor,H_Hydroxyl_CSH->O_Water_IF_CaCoord_per_donor,H_Water_CSH->O_SiO2_Surface_per_donor,H_Water_CSH->O_SiO2_Structural_per_donor,H_Water_CSH->O_Water_IF_per_donor,H_Water_CSH->O_Water_IF_CaCoord_per_donor,H_SiO2_Hydroxyl->O_Hydroxyl_CSH_per_donor,H_SiO2_Hydroxyl->O_NBO_CSH_per_donor,H_SiO2_Hydroxyl->O_Water_CSH_per_donor,H_SiO2_Hydroxyl->O_Bridging_CSH_per_donor,H_SiO2_Hydroxyl->O_Water_IF_per_donor,H_SiO2_Hydroxyl->O_Water_IF_CaCoord_per_donor
10,120,0,30,15,3,30,216,13,0,0,24,5,9,0,42,5,0,0,0,0,2,0,6.181987072,0,1.545496768,0.772748384,0.1545496768,1.545496768,11.12757673,0.6697152661,0,0,1.236397414,0.2575827947,0.4636490304,0,2.163695475,0.2575827947,0,0,0,0,0.1030331179,0,2.68628111,0,0.6715702775,0.3357851388,0.06715702775,0.6715702775,4.835305998,0.2910137869,0,0,0.537256222,0.1119283796,0.2014710833,0,0.9401983885,0.1119283796,0,0,0,0,0.04477135184,0,0.2013422819,0,0.05033557047,0.02516778523,0.005033557047,0.05033557047,0.3624161074,0.02181208054,0,0,0.08333333333,0.01736111111,0.05142857143,0,0.24,0.02857142857,0,0,0,0,0.01111111111,0
11,110,0,22,14,6,26,216,14,0,0,27,6,9,0,38,4,0,0,0,0,3,0,5.666821483,0,1.133364297,0.721231825,0.3090993536,1.339430532,11.12757673,0.721231825,0,0,1.390947091,0.3090993536,0.4636490304,0,1.957629239,0.2060662357,0,0,0,0,0.1545496768,0,2.477799985,0,0.4955599969,0.3153563617,0.1351527264,0.5856618146,4.865498152,0.3153563617,0,0,0.608187269,0.1351527264,0.2027290897,0,0.8559672674,0.09010181763,0,0,0,0,0.06757636322,0,0.1845637584,0,0.03691275168,0.02348993289,0.01006711409,0.04362416107,0.3624161074,0.02348993289,0,0,0.09440559441,0.02097902098,0.05113636364,0,0.2159090909,0.02272727273,0,0,0,0,0.01666666667,0
12,110,0,27,17,6,14,206,12,0,0,28,5,8,0,36,4,0,0,0,0,2,0,5.666821483,0,1.390947091,0.8757815018,0.3090993536,0.721231825,10.61241114,0.6181987072,0,0,1.44246365,0.2575827947,0.4121324715,0,1.854596122,0.2060662357,0,0,0,0,0.1030331179,0,2.466965792,0,0.6055279672,0.3812583497,0.1345617705,0.3139774645,4.61995412,0.269123541,0,0,0.6279549289,0.1121348087,0.179415694,0,0.8073706229,0.08970784699,0,0,0,0,0.0448539235,0,0.1845637584,0,0.04530201342,0.02852348993,0.01006711409,0.02348993289,0.3456375839,0.02013422819,0,0,0.09333333333,0.01666666667,0.04651162791,0,0.2093023256,0.02325581395,0,0,0,0,0.01111111111,0
13,108,0,23,16,7,24,197,14,0,0,33,3,11,0,40,3,0,0,0,0,2,0,5.563788365,0,1.184880855,0.8242649429,0.3606159125,1.236397414,10.14876211,0.721231825,0,0,1.700046445,0.1545496768,0.5666821483,0,2.060662357,0.1545496768,0,0,0,0,0.1030331179,0,2.428778879,0,0.5172399464,0.3598190931,0.1574208532,0.5397286397,4.430272584,0.3148417065,0,0,0.7421268796,0.06746607996,0.2473756265,0,0.8995477329,0.06746607996,0,0,0,0,0.04497738664,0,0.1812080537,0,0.03859060403,0.02684563758,0.01174496644,0.04026845638,0.3305369128,0.02348993289,0,0,0.1137931034,0.01034482759,0.0632183908,0,0.2298850575,0.01724137931,0,0,0,0,0.01111111111,0
14,119,0,29,12,6,24,203,13,0,0,19,3,10,0,34,4,0,0,0,0,2,0,6.130470513,0,1.493980209,0.6181987072,0.3090993536,1.236397414,10.45786146,0.6697152661,0,0,0.9788146197,0.1545496768,0.5151655893,0,1.751563004,0.2060662357,0,0,0,0,0.1030331179,0,2.674909167,0,0.6518686206,0.2697387395,0.1348693698,0.5394774791,4.563080344,0.2922169678,0,0,0.4270863376,0.06743468489,0.224782283,0,0.764259762,0.08991291318,0,0,0,0,0.04495645659,0,0.2003367003,0,0.04882154882,0.0202020202,0.0101010101,0.0404040404,0.3417508418,0.02188552189,0,0,0.06462585034,0.01020408163,0.05747126437,0,0.1954022989,0.02298850575,0,0,0,0,0.01111111111,0
15,111,0,32,13,7,23,211,7,0,0,25,3,11,0,28,8,0,0,0,0,2,0,5.718338041,0,1.648529886,0.6697152661,0.3606159125,1.184880855,10.86999393,0.3606159125,0,0,1.287913973,0.1545496768,0.5666821483,0,1.44246365,0.4121324715,0,0,0,0,0.1030331179,0,2.49405605,0,0.7190071495,0.2920966545,0.157282814,0.5167863887,4.740953392,0.157282814,0,0,0.5617243356,0.06740692027,0.2471587076,0,0.6291312558,0.1797517874,0,0,0,0,0.04493794684,0,0.1868686869,0,0.05387205387,0.02188552189,0.01178451178,0.03872053872,0.3552188552,0.01178451178,0,0,0.08503401361,0.01020408163,0.06358381503,0,0.161849711,0.04624277457,0,0,0,0,0.01111111111,0
16,120,0,26,14,7,22,205,9,0,0,28,6,13,0,39,5,0,0,0,0,2,0,6.181987072,0,1.339430532,0.721231825,0.3606159125,1.133364297,10.56089458,0.4636490304,0,0,1.44246365,0.3090993536,0.6697152661,0,2.009145798,0.2575827947,0,0,0,0,0.1030331179,0,2.70040494,0,0.585087737,0.315047243,0.1575236215,0.495074239,4.613191773,0.2025303705,0,0,0.630094486,0.135020247,0.2925438685,0,0.8776316055,0.1125168725,0,0,0,0,0.045006749,0,0.2013422819,0,0.04362416107,0.02348993289,0.01174496644,0.03691275168,0.3439597315,0.01510067114,0,0,0.09459459459,0.02027027027,0.07471264368,0,0.224137931,0.02873563218,0,0,0,0,0.01111111111,0
17,126,0,30,18,9,27,212,16,0,0,29,1,12,0,35,4,0,0,0,0,2,0,6.491086425,0,1.545496768,0.9272980608,0.4636490304,1.390947091,10.92151049,0.8242649429,0,0,1.493980209,0.05151655893,0.6181987072,0,1.803079563,0.2060662357,0,0,0,0,0.1030331179,0,2.824940628,0,0.6726049113,0.4035629468,0.2017814734,0.6053444202,4.753074707,0.3587226194,0,0,0.6501847476,0.02242016371,0.2690419645,0,0.7847057299,0.08968065484,0,0,0,0,0.04484032742,0,0.211409396,0,0.05033557047,0.03020134228,0.01510067114,0.04530201342,0.355704698,0.02684563758,0,0,0.09797297297,0.003378378378,0.06936416185,0,0.2023121387,0.02312138728,0,0,0,0,0.01111111111,0
18,121,0,25,15,10,26,192,11,0,0,26,4,12,0,35,3,0,0,0,0,2,0,6.233503631,0,1.287913973,0.772748384,0.5151655893,1.339430532,9.891179315,0.5666821483,0,0,1.339430532,0.2060662357,0.6181987072,0,1.803079563,0.1545496768,0,0,0,0,0.1030331179,0,2.701291202,0,0.558118017,0.3348708102,0.2232472068,0.5804427377,4.286346371,0.2455719275,0,0,0.5804427377,0.08929888273,0.2678966482,0,0.7813652239,0.06697416204,0,0,0,0,0.04464944136,0,0.2030201342,0,0.04194630872,0.02516778523,0.01677852349,0.04362416107,0.322147651,0.01845637584,0,0,0.08843537415,0.01360544218,0.06976744186,0,0.2034883721,0.01744186047,0,0,0,0,0.01111111111,0
19,110,0,26,16,8,25,192,6,0,0,33,4,7,0,43,1,0,0,0,0,2,0,5.666821483,0,1.339430532,0.8242649429,0.4121324715,1.287913973,9.891179315,0.3090993536,0,0,1.700046445,0.2060662357,0.3606159125,0,2.215212034,0.05151655893,0,0,0,0,0.1030331179,0,2.473554885,0,0.5846584273,0.3597898014,0.1798949007,0.5621715647,4.317477617,0.1349211755,0,0,0.7420664654,0.08994745035,0.1574080381,0,0.9669350913,0.02248686259,0,0,0,0,0.04497372518,0,0.1845637584,0,0.04362416107,0.02684563758,0.01342281879,0.04194630872,0.322147651,0.01006711409,0,0,0.1137931034,0.01379310345,0.04046242775,0,0.2485549133,0.005780346821,0,0,0,0,0.01111111111,0
20,128,0,29,15,9,22,196,12,0,0,27,3,11,0,28,6,0,0,0,0,1,0,6.594119543,0,1.493980209,0.772748384,0.4636490304,1.133364297,10.09724555,0.6181987072,0,0,1.390947091,0.1545496768,0.5666821483,0,1.44246365,0.3090993536,0,0,0,0,0.05151655893,0,2.871935114,0,0.6506727994,0.3365548962,0.2019329377,0.4936138478,4.397650644,0.269243917,0,0,0.6057988132,0.06731097925,0.2468069239,0,0.6282358063,0.1346219585,0,0,0,0,0.02243699308,0,0.2144053601,0,0.04857621441,0.02512562814,0.01507537688,0.03685092127,0.3283082077,0.02010050251,0,0,0.09278350515,0.01030927835,0.06358381503,0,0.161849711,0.03468208092,0,0,0,0,0.005555555556,0
21,117,0,25,20,8,21,203,16,0,0,26,2,11,0,41,1,0,0,0,0,1,0,6.027437395,0,1.287913973,1.030331179,0.4121324715,1.081847738,10.45786146,0.8242649429,0,0,1.339430532,0.1030331179,0.5666821483,0,2.112178916,0.05151655893,0,0,0,0,0.05151655893,0,2.626551253,0,0.5612289003,0.4489831202,0.1795932481,0.4714322762,4.55717867,0.3591864962,0,0,0.5836780563,0.04489831202,0.2469407161,0,0.9204153965,0.02244915601,0,0,0,0,0.02244915601,0,0.1956521739,0,0.04180602007,0.03344481605,0.01337792642,0.03511705686,0.3394648829,0.02675585284,0,0,0.09059233449,0.006968641115,0.06432748538,0,0.2397660819,0.005847953216,0,0,0,0,0.005555555556,0
22,102,1,27,20,10,16,206,13,0,0,18,4,8,0,45,7,0,0,0,0,1,0,5.254689011,0.05151655893,1.390947091,1.030331179,0.5151655893,0.8242649429,10.61241114,0.6697152661,0,0,0.9272980608,0.2060662357,0.4121324715,0,2.318245152,0.3606159125,0,0,0,0,0.05151655893,0,2.283886763,0.02239104669,0.6045582607,0.4478209338,0.2239104669,0.3582567471,4.612555618,0.291083607,0,0,0.4030388404,0.08956418677,0.1791283735,0,1.007597101,0.1567373268,0,0,0,0,0.02239104669,0,0.1711409396,0.001677852349,0.04530201342,0.03355704698,0.01677852349,0.02684563758,0.3456375839,0.02181208054,0,0,0.0618556701,0.01374570447,0.04597701149,0,0.2586206897,0.04022988506,0,0,0,0,0.005555555556,0
23,106,0,29,15,10,24,210,10,0,0,30,2,12,0,36,3,0,0,0,0,0,0,5.460755247,0,1.493980209,0.772748384,0.5151655893,1.236397414,10.81847738,0.5151655893,0,0,1.545496768,0.1030331179,0.6181987072,0,1.854596122,0.1545496768,0,0,0,0,0,0,2.378003827,0,0.6505859527,0.3365099756,0.2243399837,0.5384159609,4.711139658,0.2243399837,0,0,0.6730199511,0.04486799674,0.2692079804,0,0.8076239413,0.06730199511,0,0,0,0,0,0,0.177852349,0,0.04865771812,0.02516778523,0.01677852349,0.04026845638,0.3523489933,0.01677852349,0,0,0.1038062284,0.006920415225,0.06896551724,0,0.2068965517,0.01724137931,0,0,0,0,0,0
24,110,0,22,19,4,21,200,8,0,0,23,6,14,0,33,10,0,0,0,0,2,0,5.666821483,0,1.133364297,0.9788146197,0.2060662357,1.081847738,10.30331179,0.4121324715,0,0,1.184880855,0.3090993536,0.721231825,0,1.700046445,0.5151655893,0,0,0,0,0.1030331179,0,2.464856199,0,0.4929712398,0.4257478889,0.08963113451,0.4705634562,4.481556726,0.179262269,0,0,0.5153790235,0.1344467018,0.3137089708,0,0.7394568597,0.2240778363,0,0,0,0,0.04481556726,0,0.1845637584,0,0.03691275168,0.03187919463,0.006711409396,0.03523489933,0.3355704698,0.01342281879,0,0,0.07931034483,0.02068965517,0.08045977011,0,0.1896551724,0.05747126437,0,0,0,0,0.01111111111,0
